Year,RoundNumber,EventName,Driver,Team,LapNumber,Stint,Compound,TyreLife,PitInTime_s,PitOutTime_s,PositionAtPit,FinalPosition,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_mbar,WindSpeed_ms,WindDirection,Rainfall,FinalPositionNumeric
2024,1,Bahrain Grand Prix,VER,Red Bull Racing,17,1,SOFT,20,5250.291,5275.379,1,1,18.1,23.4,51.0,1017.1,0.7,178,False,1.0
2024,1,Bahrain Grand Prix,VER,Red Bull Racing,37,2,HARD,20,7187.796,7212.014,1,1,17.9,22.5,50.0,1017.4,0.4,156,False,1.0
2024,1,Bahrain Grand Prix,PER,Red Bull Racing,12,1,SOFT,15,4774.991,4799.484,3,2,18.3,23.6,50.0,1017.2,0.5,354,False,2.0
2024,1,Bahrain Grand Prix,PER,Red Bull Racing,36,2,HARD,24,7110.216,7134.639,2,2,18.0,22.6,50.0,1017.4,0.7,41,False,2.0
2024,1,Bahrain Grand Prix,SAI,Ferrari,14,1,SOFT,17,4970.807,4995.387,2,3,18.1,23.5,50.0,1017.1,0.4,0,False,3.0
2024,1,Bahrain Grand Prix,SAI,Ferrari,35,2,HARD,21,7016.614,7040.5,3,3,18.0,22.6,49.0,1017.4,0.7,132,False,3.0
2024,1,Bahrain Grand Prix,LEC,Ferrari,11,1,SOFT,14,4679.892,4703.94,6,4,18.2,23.5,50.0,1017.2,0.5,157,False,4.0
2024,1,Bahrain Grand Prix,LEC,Ferrari,34,2,HARD,23,6931.86,6955.941,4,4,17.9,22.7,49.0,1017.3,0.0,29,False,4.0
2024,1,Bahrain Grand Prix,RUS,Mercedes,11,1,SOFT,14,4676.394,4701.16,4,5,18.2,23.5,50.0,1017.2,0.5,157,False,5.0
2024,1,Bahrain Grand Prix,RUS,Mercedes,31,2,HARD,20,6639.737,6664.687,5,5,18.0,22.7,49.0,1017.3,0.5,53,False,5.0
2024,1,Bahrain Grand Prix,NOR,McLaren,13,1,SOFT,16,4878.561,4902.671,3,6,18.2,23.4,50.0,1017.1,1.0,123,False,6.0
2024,1,Bahrain Grand Prix,NOR,McLaren,33,2,HARD,20,6837.589,6862.389,5,6,18.0,22.7,49.0,1017.3,0.7,27,False,6.0
2024,1,Bahrain Grand Prix,HAM,Mercedes,12,1,SOFT,15,4784.838,4809.902,7,7,18.3,23.5,50.0,1017.2,0.4,42,False,7.0
2024,1,Bahrain Grand Prix,HAM,Mercedes,33,2,HARD,21,6844.064,6868.183,7,7,18.0,22.7,49.0,1017.3,0.7,27,False,7.0
2024,1,Bahrain Grand Prix,PIA,McLaren,12,1,SOFT,15,4782.605,4808.021,5,8,18.3,23.6,50.0,1017.2,0.5,354,False,8.0
2024,1,Bahrain Grand Prix,PIA,McLaren,34,2,HARD,22,6938.558,6963.352,5,8,17.9,22.7,49.0,1017.3,0.0,29,False,8.0
2024,1,Bahrain Grand Prix,ALO,Aston Martin,15,1,SOFT,18,5082.03,5106.892,2,9,18.1,23.3,50.0,1017.2,0.0,179,False,9.0
2024,1,Bahrain Grand Prix,ALO,Aston Martin,41,2,HARD,26,7636.321,7661.382,9,9,17.9,22.4,50.0,1017.4,0.4,0,False,9.0
2024,1,Bahrain Grand Prix,STR,Aston Martin,9,1,SOFT,9,4500.719,4525.073,19,10,18.2,23.5,50.0,1017.2,0.5,330,False,10.0
2024,1,Bahrain Grand Prix,STR,Aston Martin,27,2,HARD,18,6283.48,6307.9,13,10,18.1,22.9,49.0,1017.2,0.0,0,False,10.0
2024,1,Bahrain Grand Prix,ZHO,Kick Sauber,9,1,SOFT,9,4497.559,4522.7,16,11,18.2,23.5,50.0,1017.2,0.5,330,False,11.0
2024,1,Bahrain Grand Prix,ZHO,Kick Sauber,28,2,HARD,19,6377.855,6402.838,11,11,18.1,22.8,49.0,1017.2,0.8,0,False,11.0
2024,1,Bahrain Grand Prix,MAG,Haas F1 Team,11,1,SOFT,11,4693.697,4719.594,12,12,18.2,23.5,50.0,1017.2,0.5,157,False,12.0
2024,1,Bahrain Grand Prix,MAG,Haas F1 Team,32,2,HARD,21,6775.425,6799.982,13,12,18.0,22.7,49.0,1017.3,0.7,28,False,12.0
2024,1,Bahrain Grand Prix,RIC,RB,13,1,SOFT,16,4895.789,4920.38,10,13,18.2,23.4,50.0,1017.1,1.0,123,False,13.0
2024,1,Bahrain Grand Prix,RIC,RB,35,2,HARD,22,7072.253,7097.022,11,13,18.0,22.6,50.0,1017.4,0.7,41,False,13.0
2024,1,Bahrain Grand Prix,TSU,RB,14,1,SOFT,14,4986.054,5010.727,4,14,18.1,23.5,50.0,1017.1,0.4,0,False,14.0
2024,1,Bahrain Grand Prix,TSU,RB,34,2,HARD,20,6965.032,6989.63,10,14,18.0,22.7,49.0,1017.4,0.6,328,False,14.0
2024,1,Bahrain Grand Prix,ALB,Williams,15,1,SOFT,15,5087.139,5111.918,5,15,18.1,23.2,50.0,1017.2,0.4,236,False,15.0
2024,1,Bahrain Grand Prix,ALB,Williams,36,2,HARD,21,7167.973,7192.655,10,15,18.0,22.6,50.0,1017.5,0.9,13,False,15.0
2024,1,Bahrain Grand Prix,HUL,Haas F1 Team,1,1,SOFT,1,3712.101,3748.664,20,16,18.3,23.8,49.0,1017.0,1.1,33,False,16.0
