year,event_name,circuit,raceid,lap_number,lap_time,tyre_compound,tyre_stint,driver,position,pit,pit_next_lap,rain,track_status,distance_ahead,total_num_pits,flag_AllClear,flag_VSCDeployed,flag_VSCEnding,flag_Yellow,flag_SCDeployed,flag_Red
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:22.199000,nan,,RIC,1.0,0,0,False,Yellow,0.24972222222208984,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:23.334000,nan,,VET,2.0,0,0,False,Yellow,69.30416666666588,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:24.315000,nan,,HAM,3.0,0,0,False,Yellow,75.3608333333359,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:25.237000,nan,,RAI,4.0,0,0,False,Yellow,58.53083333333507,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:26.051000,nan,,BOT,5.0,0,0,False,Yellow,56.757222222222026,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:27.102000,nan,,OCO,6.0,0,0,False,Yellow,71.90444444444393,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:28.656000,nan,,ALO,7.0,0,0,False,Yellow,88.3755555555581,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:29.451000,nan,,SAI,8.0,0,0,False,Yellow,51.09027777777419,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:30.842000,nan,,PER,9.0,0,0,False,Yellow,106.2488888888879,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:31.614000,nan,,GAS,10.0,0,0,False,Yellow,39.80083333333505,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:31.804000,nan,,HUL,11.0,0,0,False,Yellow,3.117222222223063,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:32.457000,nan,,SIR,12.0,0,0,False,Yellow,24.101944444445962,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:33.076000,nan,,VAN,13.0,0,0,False,Yellow,55.20333333332974,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:33.625000,nan,,LEC,14.0,0,0,False,Yellow,43.24527777777848,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:34.231000,nan,,HAR,15.0,0,0,False,Yellow,15.388055555556093,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:34.641000,nan,,STR,16.0,0,0,False,Yellow,23.106388888888887,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:35.152000,nan,,ERI,17.0,0,0,False,Yellow,42.447500000004766,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:35.690000,nan,,VER,18.0,0,0,False,Yellow,19.990555555548326,0,0,0.0,0.0,1.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:36.698000,nan,,MAG,19.0,0,0,False,AllClear,79.25666666666575,0,1,0.0,0.0,0.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,1.0,0 days 00:01:37.066000,nan,,GRO,20.0,0,0,False,AllClear,32.995277777782576,0,1,0.0,0.0,0.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,2.0,0 days 00:01:18.135000,nan,,RIC,1.0,0,0,True,AllClear,,0,1,0.0,0.0,0.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,2.0,0 days 00:01:18.447000,HYPERSOFT,1.0,VET,2.0,0,0,True,AllClear,105.88888888889005,0,1,0.0,0.0,0.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,2.0,0 days 00:01:18.485000,HYPERSOFT,1.0,HAM,3.0,0,0,True,AllClear,74.10750000000144,0,1,0.0,0.0,0.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,2.0,0 days 00:01:18.414000,HYPERSOFT,1.0,RAI,4.0,0,0,True,AllClear,69.59861111111377,0,1,0.0,0.0,0.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,2.0,0 days 00:01:18.630000,HYPERSOFT,1.0,BOT,5.0,0,0,True,AllClear,74.99527777777621,0,1,0.0,0.0,0.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,2.0,0 days 00:01:19.010000,HYPERSOFT,1.0,OCO,6.0,0,0,True,AllClear,111.7883333333325,0,1,0.0,0.0,0.0,,
2018,Monaco Grand Prix,Monte Carlo,201806,2.0,0 days 00:01:19.987000,HYPERSOFT,1.0,ALO,7.0,0,0,True,AllClear,154.07333333333054,0,1,0.0,0.0,0.0,,
